date,open_price,high_price,low_price,trade_price,volume
2023-07-14,2607.47,2628.3,2603.36,2628.3,569815109
2023-07-17,2617.67,2627.12,2611.55,2619.0,550569962
2023-07-18,2624.59,2626.89,2600.67,2607.62,493202186
2023-07-19,2622.24,2622.54,2598.52,2608.24,440073850
2023-07-20,2595.38,2611.34,2589.29,2600.23,372364710
2023-07-21,2581.06,2609.76,2570.58,2609.76,501871967
2023-07-24,2608.47,2636.06,2595.21,2628.53,529363268
2023-07-25,2643.35,2646.71,2621.6,2636.46,723471549
2023-07-26,2638.76,2639.21,2580.98,2592.36,834106504
2023-07-27,2599.82,2617.61,2586.36,2603.81,594162667
2023-07-28,2593.67,2609.54,2586.33,2608.32,503267298
2023-07-31,2628.87,2639.45,2622.21,2632.58,454242638
2023-08-01,2644.34,2668.21,2639.1,2667.07,493643248
2023-08-02,2651.53,2660.9,2611.77,2616.47,704673842
2023-08-03,2624.76,2625.45,2591.3,2605.39,789416273
2023-08-04,2606.17,2612.3,2598.38,2602.8,645750159
2023-08-07,2591.58,2607.36,2580.71,2580.71,504070760
2023-08-08,2598.29,2601.41,2568.15,2573.98,638418712
2023-08-09,2580.6,2608.98,2576.21,2605.12,467526732
2023-08-10,2592.4,2601.56,2590.02,2601.56,568155109
2023-08-11,2611.25,2616.84,2589.94,2591.26,675389953
2023-08-14,2586.51,2592.91,2561.88,2570.87,624377647
2023-08-16,2550.13,2550.53,2520.87,2525.64,685135617
2023-08-17,2512.92,2520.56,2482.06,2519.85,735132744
2023-08-18,2495.18,2519.6,2489.63,2504.5,557784633
2023-08-21,2511.7,2524.41,2505.59,2508.8,399458711
2023-08-22,2528.39,2533.43,2509.53,2515.74,471808571
2023-08-23,2510.0,2517.51,2499.89,2505.5,547169704
2023-08-24,2531.78,2539.44,2520.73,2537.68,441140168
2023-08-25,2505.39,2526.37,2502.05,2519.14,577383852
2023-08-28,2534.42,2543.41,2525.64,2543.41,483587568
2023-08-29,2550.76,2556.98,2545.27,2552.16,441365852
2023-08-30,2575.42,2578.62,2561.22,2561.22,364003001
2023-08-31,2564.45,2568.06,2547.72,2556.27,473168805
2023-09-01,2551.93,2568.42,2551.04,2563.71,493367317
2023-09-04,2566.93,2584.55,2560.32,2584.55,342072516
2023-09-05,2578.91,2586.65,2575.19,2582.18,384579023
2023-09-06,2577.41,2585.98,2560.09,2563.34,422126144
2023-09-07,2554.87,2562.42,2539.24,2548.26,377270533
2023-09-08,2546.07,2550.96,2530.05,2547.68,396289098
2023-09-11,2549.88,2556.89,2540.44,2556.88,411070381
2023-09-12,2566.42,2568.55,2535.15,2536.58,359409844
2023-09-13,2536.22,2549.38,2528.18,2534.7,417576035
2023-09-14,2544.89,2572.89,2541.11,2572.89,412509123
2023-09-15,2574.98,2611.0,2572.37,2601.28,441729809
2023-09-18,2588.69,2596.55,2573.26,2574.72,416289507
2023-09-19,2579.36,2583.25,2555.46,2559.21,462342076
2023-09-20,2556.55,2566.62,2551.12,2559.74,414667757
2023-09-21,2544.81,2549.63,2514.96,2514.97,394676191
2023-09-22,2491.45,2513.26,2486.14,2508.13,433184441
2023-09-25,2504.1,2509.38,2486.44,2495.76,438614599
2023-09-26,2493.64,2495.0,2461.59,2462.97,427476174
2023-09-27,2447.99,2469.72,2445.51,2465.07,366240767
2023-10-04,2435.78,2435.78,2402.84,2405.69,424858687
2023-10-05,2423.35,2426.61,2402.5,2403.6,451722351
2023-10-06,2408.81,2421.18,2403.92,2408.73,289391533
2023-10-10,2436.58,2448.24,2402.44,2402.58,416004097
2023-10-11,2436.52,2463.56,2436.52,2450.08,446948721
2023-10-12,2465.19,2479.82,2464.84,2479.82,515451710
